date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:43	244616/244616	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Jul%202026%2014:23:42%20GMT	https://julianinsarralde.com.ar/	F:/copy/juanguiaescalada/one/julianinsarralde.com.ar/index.html	(from )
11:23:43	118/118	---MCZ	200	added ('OK')	text/plain	date:Fri,%2031%20Jul%202026%2014:23:43%20GMT	https://julianinsarralde.com.ar/robots.txt		(from )
11:23:43	3246/3246	---M--	200	added ('OK')	application/octet-stream	etag:%2266bbc70b-cae%22	https://julianinsarralde.com.ar/xmlrpc.php	F:/copy/juanguiaescalada/one/julianinsarralde.com.ar/xmlrpc.php	(from https://julianinsarralde.com.ar/)
11:23:43	13679/13679	---MCZ	200	added ('OK')	text/css	date:Thu,%2006%20Mar%202025%2020:34:51%20GMT	https://julianinsarralde.com.ar/wp-content/plugins/insta-gallery/assets/frontend/swiper/swiper.min.css?ver=4.6.4	F:/copy/juanguiaescalada/one/julianinsarralde.com.ar/wp-content/plugins/insta-gallery/assets/frontend/swiper/swiper.min82d0.css	(from https://julianinsarralde.com.ar/)
11:23:44	56058/56058	---MCZ	200	added ('OK')	text/css	date:Thu,%2006%20Mar%202025%2020:34:52%20GMT	https://julianinsarralde.com.ar/wp-content/plugins/insta-gallery/build/frontend/css/style.css?ver=4.6.4	F:/copy/juanguiaescalada/one/julianinsarralde.com.ar/wp-content/plugins/insta-gallery/build/frontend/css/style82d0.css	(from https://julianinsarralde.com.ar/)
11:23:44	116077/116077	---MCZ	200	added ('OK')	text/css	date:Mon,%2005%20Apr%202021%2019:20:42%20GMT	https://julianinsarralde.com.ar/wp-content/plugins/monarch/css/style.css?ver=1.4.14	F:/copy/juanguiaescalada/one/julianinsarralde.com.ar/wp-content/plugins/monarch/css/style22d6.css	(from https://julianinsarralde.com.ar/)
11:23:44	9427/9427	---M--	200	added ('OK')	image/gif	date:Thu,%2006%20Mar%202025%2020:34:01%20GMT	https://julianinsarralde.com.ar/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	F:/copy/juanguiaescalada/one/julianinsarralde.com.ar/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://julianinsarralde.com.ar/)
11:23:46	92172/92172	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2006%20Mar%202025%2020:33:40%20GMT	http://julianinsarralde.com.ar/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	F:/copy/juanguiaescalada/one/julianinsarralde.com.ar/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	(from https://julianinsarralde.com.ar/)
11:23:46	107248/107248	---MCZ	200	added ('OK')	text/css	date:Thu,%2006%20Mar%202025%2021:51:57%20GMT	https://julianinsarralde.com.ar/wp-content/et-cache/10/et-divi-dynamic-10.css?ver=1741297917	F:/copy/juanguiaescalada/one/julianinsarralde.com.ar/wp-content/et-cache/10/et-divi-dynamic-10be47.css	(from https://julianinsarralde.com.ar/)
11:23:46	4653/4653	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%220325678882aec6386ce9e5d9f3f2c5f3%22	https://julianinsarralde.com.ar/feed/	F:/copy/juanguiaescalada/one/julianinsarralde.com.ar/feed/index.html	(from https://julianinsarralde.com.ar/)
11:23:46	755/755	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%220325678882aec6386ce9e5d9f3f2c5f3%22	https://julianinsarralde.com.ar/comments/feed/	F:/copy/juanguiaescalada/one/julianinsarralde.com.ar/comments/feed/index.html	(from https://julianinsarralde.com.ar/)
11:23:47	246100/246100	---MCZ	200	added ('OK')	application/json	date:Fri,%2031%20Jul%202026%2014:23:47%20GMT	https://julianinsarralde.com.ar/wp-json/	F:/copy/juanguiaescalada/one/julianinsarralde.com.ar/wp-json/index.html	(from https://julianinsarralde.com.ar/)
11:23:48	158408/158408	---MCZ	200	added ('OK')	application/json	date:Fri,%2031%20Jul%202026%2014:23:47%20GMT	https://julianinsarralde.com.ar/wp-json/wp/v2/pages/10	F:/copy/juanguiaescalada/one/julianinsarralde.com.ar/wp-json/wp/v2/pages/10.json	(from https://julianinsarralde.com.ar/)
11:23:48	3246/3246	---M--	200	added ('OK')	application/octet-stream	etag:%2266bbc70b-cae%22	https://julianinsarralde.com.ar/xmlrpc.php?rsd	F:/copy/juanguiaescalada/one/julianinsarralde.com.ar/xmlrpc0db0.php	(from https://julianinsarralde.com.ar/)
11:23:48	2032/2032	---MCZ	200	added ('OK')	application/json	date:Fri,%2031%20Jul%202026%2014:23:48%20GMT	https://julianinsarralde.com.ar/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjulianinsarralde.com.ar%2F	F:/copy/juanguiaescalada/one/julianinsarralde.com.ar/wp-json/oembed/1.0/embedaae3.json	(from https://julianinsarralde.com.ar/)
11:23:49	2176/2176	---MCZ	200	added ('OK')	text/xml	date:Fri,%2031%20Jul%202026%2014:23:49%20GMT	https://julianinsarralde.com.ar/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjulianinsarralde.com.ar%2F&format=xml	F:/copy/juanguiaescalada/one/julianinsarralde.com.ar/wp-json/oembed/1.0/embed166f	(from https://julianinsarralde.com.ar/)
11:23:49	800/800	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Jun%202020%2021:17:28%20GMT	https://julianinsarralde.com.ar/wp-content/uploads/2019/11/cropped-julian-insarralde_iso_logo-03-32x32.png	F:/copy/juanguiaescalada/one/julianinsarralde.com.ar/wp-content/uploads/2019/11/cropped-julian-insarralde_iso_logo-03-32x32.png	(from https://julianinsarralde.com.ar/)
11:23:49	6486/6486	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Jun%202020%2021:16:07%20GMT	https://julianinsarralde.com.ar/wp-content/uploads/2019/11/cropped-julian-insarralde_iso_logo-03-192x192.png	F:/copy/juanguiaescalada/one/julianinsarralde.com.ar/wp-content/uploads/2019/11/cropped-julian-insarralde_iso_logo-03-192x192.png	(from https://julianinsarralde.com.ar/)
11:23:50	17403/17403	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Jun%202020%2021:13:02%20GMT	https://julianinsarralde.com.ar/wp-content/uploads/2019/11/cropped-julian-insarralde_iso_logo-03-180x180.png	F:/copy/juanguiaescalada/one/julianinsarralde.com.ar/wp-content/uploads/2019/11/cropped-julian-insarralde_iso_logo-03-180x180.png	(from https://julianinsarralde.com.ar/)
